CUE Anexo|Jardín maternal|Inicial|Primaria|Secundaria|Secundaria Técnica (INET)|Superior no Universitario|Superior No Universitario (INET)
060112100|||X||||
060112200||||X|||
060112500||X|||||
060112700|X|X|||||
060112800||X|||||
060113000|||X||||
060113100||X|||||
060113200||||X|||
060113300|||X||||
060113400|||X||||
060113500|X|X|||||
060113600|||X||||
060113700|||X||||
060113800|||||||
060113900|||X||||
060114000|||X||||
060114100|||X||||
060114200|X|X|||||
060114400|||X||||
060114500||||X|X||
060115100|||X||||
060115200|||X||||
060115300|||X||||
060115500|X|X|||||
060115600|||X||||
060115800|||X||||
060115900|||X||||
060116000|||X||||
060116100|||X||||
060116300|||X||||
060116500||X|||||
060116600|||X||||
060116700|X|X|||||
060116800||X|||||
060116900|||X||||
060117000|X|X|||||
060117100||X|||||
060117300|||X||||
060117400|||X||||
060117500|||X||||
060117700|||X||||
060117800|||X||||
060117900|X|X|||||
060118000||X|||||
060118100|X|X|||||
060118200|||X||||
060118300|||X||||
060118400|||X||||
060118500|||X||||
060118600|||X||||
060118800|||X||||
060118900|||||||
060119000|||X||||
060119100|||X||||
060119400|||X||||
060119800|||X||||
060120000|X|X|||||
060120100|X|X|||||
060120200|||||||
060120300|||X||||
060120400|||X||||
060120500|||X||||
060120600|||X||||
060120700|||X||||
060120800|||X||||
060121200||||X|||
060121201||||X|||
060121300|X|X|||||
060121400|||X||||
060121500||X|||||
060121600|||X||||
060121700|X|X|||||
060121900|||X||||
060122000|||X||||
060122100|||X||||
060122200|||X||||
060122500|||X||||
060122600|||X||||
060122800|||X||||
060122900|||X||||
060123000|||X||||
060123100|||X||||
060123200|||||||
060123300|X|X|||||
060123400|||||||
060123401|||||||
060123402|||||||
060123403|||||||
060123500|X|X|||||
060123700||||X|||
060123800||||X|X||
060123900|||X||||
060124000|||X||||
060124100|||X||||
060124200|||X||||
060124300|||X||||
060124400|||X||||
060124600|X|X|||||
060124700|||||||
060124800|||X||||
060124900|||||||
060125000|||X||||
060125100|||X||||
060125200|||X||||
